filename,meeting_id,needs_ocr,reason
2019-09-04 Council Meeting Approved Minutes.pdf,240,False,Review item 1315: weak or fallback extraction.
2019-09-04 Council Meeting Approved Minutes.pdf,240,False,Review item 1316: weak or fallback extraction.
2019-09-04 Council Meeting Approved Minutes.pdf,240,False,Review item 1317: weak or fallback extraction.
2019-09-04 Council Meeting Approved Minutes.pdf,240,False,Review item 1318: weak or fallback extraction.
2019-09-04 Council Meeting Approved Minutes.pdf,240,False,Review item 1319: weak or fallback extraction.
2019-09-04 Council Meeting Approved Minutes.pdf,240,False,Review item 1321: weak or fallback extraction.
2019-09-04 Council Meeting Approved Minutes.pdf,240,False,Review item 1322: weak or fallback extraction.
2019-09-04 Council Meeting Approved Minutes.pdf,240,False,Review item 1323: weak or fallback extraction.
2019-09-04 Council Meeting Approved Minutes.pdf,240,False,Review item 1324: weak or fallback extraction.
2019-09-18 Council Meeting Approved Minutes.pdf,241,False,Review item 1325: weak or fallback extraction.
2019-09-18 Council Meeting Approved Minutes.pdf,241,False,Review item 1326: weak or fallback extraction.
2019-09-18 Council Meeting Approved Minutes.pdf,241,False,Review item 1327: weak or fallback extraction.
2019-09-18 Council Meeting Approved Minutes.pdf,241,False,Review item 1328: weak or fallback extraction.
2019-09-18 Council Meeting Approved Minutes.pdf,241,False,Review item 1329: weak or fallback extraction.
2019-09-18 Council Meeting Approved Minutes.pdf,241,False,Review item 1330: weak or fallback extraction.
2019-09-18 Council Meeting Approved Minutes.pdf,241,False,Review item 1332: weak or fallback extraction.
2019-09-25 Council Meeting Approved Minutes.pdf,242,False,Review item 1333: weak or fallback extraction.
2019-09-25 Council Meeting Approved Minutes.pdf,242,False,Review item 1334: weak or fallback extraction.
2019-09-25 Council Meeting Approved Minutes.pdf,242,False,Review item 1335: weak or fallback extraction.
201910-02 Council Meeting Approved Minutes.pdf,243,False,Review item 1336: weak or fallback extraction.
201910-02 Council Meeting Approved Minutes.pdf,243,False,Review item 1337: weak or fallback extraction.
201910-02 Council Meeting Approved Minutes.pdf,243,False,Review item 1338: weak or fallback extraction.
201910-02 Council Meeting Approved Minutes.pdf,243,False,Review item 1339: weak or fallback extraction.
201910-02 Council Meeting Approved Minutes.pdf,243,False,Review item 1340: weak or fallback extraction.
201910-02 Council Meeting Approved Minutes.pdf,243,False,Review item 1341: weak or fallback extraction.
201910-02 Council Meeting Approved Minutes.pdf,243,False,Review item 1342: weak or fallback extraction.
201910-02 Council Meeting Approved Minutes.pdf,243,False,Review item 1343: weak or fallback extraction.
201910-02 Council Meeting Approved Minutes.pdf,243,False,Review item 1344: weak or fallback extraction.
201910-02 Council Meeting Approved Minutes.pdf,243,False,Review item 1345: weak or fallback extraction.
20191016 Council Meeting Approved Minutes.pdf,244,False,Review item 1346: weak or fallback extraction.
20191016 Council Meeting Approved Minutes.pdf,244,False,Review item 1347: weak or fallback extraction.
20191016 Council Meeting Approved Minutes.pdf,244,False,Review item 1348: weak or fallback extraction.
